Hhid,loyalty,preferred_store_format,lifestyle,gender
1874231,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1874421,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1875011,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1875201,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1875351,Occasional Shoppers,Large Stores,Middle Class,F
1875881,Very Frequent Shoppers,Large Stores,Middle Class,F
1875921,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1876471,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1876851,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1877591,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1877971,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1878031,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1878181,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1878411,Occasional Shoppers,Very Large Stores,Middle Class,F
1878751,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1878941,Occasional Shoppers,Others,Low Affluent Customers,F
1879001,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1879341,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1879681,Very Frequent Shoppers,Small Stores,Middle Class,F
1879871,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1880321,Very Frequent Shoppers,Large Stores,Middle Class,F
1880471,Occasional Shoppers,Large Stores,Very Affluent Customers,M
1880511,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1881251,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1881591,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1881781,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1881821,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1881971,Occasional Shoppers,Others,Low Affluent Customers,F
1882031,No longer Shopping,Very Large Stores,Very Affluent Customers,F
1882561,Very Frequent Shoppers,Large Stores,Middle Class,F
1883721,Very Frequent Shoppers,Large Stores,Middle Class,F
1884271,Very Frequent Shoppers,Large Stores,Middle Class,F
1884311,Occasional Shoppers,Large Stores,Middle Class,M
1884651,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1885811,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1886171,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1886361,Occasional Shoppers,Very Large Stores,Middle Class,F
1886741,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1886931,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1887141,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1887291,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1887331,Lapsing Shoppers,Others,Low Affluent Customers,F
1887481,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1887521,Very Frequent Shoppers,Large Stores,Middle Class,F
1888071,Occasional Shoppers,Very Large Stores,Middle Class,F
1888111,Occasional Shoppers,Very Large Stores,Middle Class,M
1888261,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1888301,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1888641,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1888791,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1888981,Occasional Shoppers,Small Stores,Low Affluent Customers,M
1889191,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1889381,Occasional Shoppers,Small Stores,Very Affluent Customers,F
1889611,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1889761,No longer Shopping,Large Stores,Low Affluent Customers,F
1889951,No longer Shopping,Very Large Stores,Low Affluent Customers,M
1890171,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1890211,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1890551,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1890891,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1891141,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1891291,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1891331,Occasional Shoppers,Large Stores,NA,F
1891481,Occasional Shoppers,Small Stores,Very Affluent Customers,F
1891671,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1891711,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1892071,Occasional Shoppers,Mom and Pop Stores,NA,F
1892111,Occasional Shoppers,Others,Low Affluent Customers,F
1892301,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1892641,No longer Shopping,Others,NA,M
1892791,Occasional Shoppers,Very Large Stores,Middle Class,F
1893041,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1893191,Very Frequent Shoppers,Small Stores,Very Affluent Customers,F
1893381,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1893421,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1893611,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1893761,Lapsing Shoppers,Large Stores,Very Affluent Customers,F
1893951,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
1894161,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1894351,Occasional Shoppers,Very Large Stores,Middle Class,F
1894731,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1895281,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1896061,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1896251,Occasional Shoppers,Large Stores,Middle Class,F
1896631,No longer Shopping,Small Stores,NA,M
1896781,Very Frequent Shoppers,Small Stores,Middle Class,F
1897371,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1897411,No longer Shopping,Very Large Stores,NA,F
1897561,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1897601,Occasional Shoppers,Very Large Stores,NA,F
1898001,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1898721,Lapsing Shoppers,Others,Middle Class,F
1899501,No longer Shopping,Others,Low Affluent Customers,F
1899991,Very Frequent Shoppers,Large Stores,Middle Class,F
1900011,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1900351,Occasional Shoppers,Very Large Stores,Middle Class,M
1900731,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1900881,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1901091,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1901321,No longer Shopping,Very Large Stores,Very Affluent Customers,F
1901471,Lapsing Shoppers,Very Large Stores,NA,M
1901661,Lapsing Shoppers,Very Large Stores,Middle Class,F
1901701,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1901851,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1902061,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1902101,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1902971,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1903411,Very Frequent Shoppers,Large Stores,Middle Class,F
1903751,Lapsing Shoppers,Very Large Stores,Middle Class,F
1903941,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1904341,Occasional Shoppers,Small Stores,Middle Class,F
1904681,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1905121,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1905651,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1905841,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1906391,Occasional Shoppers,Large Stores,Middle Class,F
1906431,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1906581,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1906621,Occasional Shoppers,Large Stores,Middle Class,F
1907021,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1907171,Occasional Shoppers,Others,Low Affluent Customers,F
1907211,Very Frequent Shoppers,Small Stores,Middle Class,F
1907361,Occasional Shoppers,Others,Middle Class,F
1907551,No longer Shopping,Mom and Pop Stores,NA,F
1907741,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1907891,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1907931,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
1908141,Very Frequent Shoppers,Small Stores,Middle Class,F
1908291,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1908331,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1908481,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1908521,Occasional Shoppers,Very Large Stores,Middle Class,M
1908901,Occasional Shoppers,Very Large Stores,Middle Class,F
1909301,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1909451,Very Frequent Shoppers,Large Stores,Middle Class,M
1909641,Very Frequent Shoppers,Large Stores,Middle Class,F
1910051,Occasional Shoppers,Small Stores,Middle Class,F
1910241,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1910771,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1910811,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1911021,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1911361,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1911401,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1911741,Very Frequent Shoppers,Large Stores,Middle Class,F
1911931,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1912141,No longer Shopping,Large Stores,Low Affluent Customers,M
1912481,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1912671,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1912901,Very Frequent Shoppers,Large Stores,Middle Class,F
1913261,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1913451,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1913791,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1913831,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1913981,No longer Shopping,Very Large Stores,Middle Class,F
1914041,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1914191,Lapsing Shoppers,Others,Very Affluent Customers,F
1914571,Occasional Shoppers,Very Large Stores,Middle Class,F
1914761,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1914801,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1914951,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1915161,Occasional Shoppers,Others,Low Affluent Customers,F
1915201,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1915351,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1915541,No longer Shopping,Large Stores,Low Affluent Customers,F
1915731,Occasional Shoppers,Very Large Stores,Middle Class,F
1915881,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1916321,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1916701,Occasional Shoppers,Large Stores,Middle Class,F
1919871,Occasional Shoppers,Very Large Stores,NA,F
1920471,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1921101,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1922031,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1922181,Very Frequent Shoppers,Small Stores,Middle Class,F
1922371,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1923491,Occasional Shoppers,NA,Low Affluent Customers,F
1923681,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1923721,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1924501,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1924991,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1925051,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1925581,Lapsing Shoppers,Very Large Stores,Middle Class,F
1925621,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1925771,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1925961,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1926891,No longer Shopping,Others,Very Affluent Customers,F
1927141,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1927291,Occasional Shoppers,Very Large Stores,Middle Class,F
1927331,No longer Shopping,Very Large Stores,NA,F
1927481,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1927901,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1928071,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1928641,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1928791,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1928831,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1928981,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1929381,Very Frequent Shoppers,Large Stores,Middle Class,F
1929571,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1929761,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1930211,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1930361,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
1930741,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1930891,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1930931,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1931521,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1931711,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1932261,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1932791,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1932831,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1932981,Lapsing Shoppers,Large Stores,Very Affluent Customers,M
1933041,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1933191,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
1933231,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1933381,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1933611,Very Frequent Shoppers,Large Stores,Middle Class,F
1933951,Occasional Shoppers,Large Stores,Middle Class,M
1934011,No longer Shopping,Large Stores,Low Affluent Customers,M
1934201,Occasional Shoppers,Very Large Stores,Middle Class,F
1934351,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1934541,Very Frequent Shoppers,Large Stores,Middle Class,M
1934691,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1934881,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1935281,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1935321,No longer Shopping,Others,Very Affluent Customers,F
1935661,Very Frequent Shoppers,Others,Middle Class,M
1935701,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1935851,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1936251,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1937181,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1937221,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1937371,Very Frequent Shoppers,Small Stores,Very Affluent Customers,F
1937941,Very Frequent Shoppers,Large Stores,Middle Class,F
1938001,Occasional Shoppers,Large Stores,Middle Class,F
1938341,Very Frequent Shoppers,Large Stores,Middle Class,F
1938491,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1938531,Very Frequent Shoppers,Others,Low Affluent Customers,F
1938681,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1938721,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1938911,No longer Shopping,Large Stores,Low Affluent Customers,F
1939841,Very Frequent Shoppers,Large Stores,Middle Class,F
1939991,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1940441,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1940591,Occasional Shoppers,Very Large Stores,Middle Class,M
1940821,Lapsing Shoppers,Very Large Stores,Middle Class,F
1940971,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1941181,Occasional Shoppers,Others,Very Affluent Customers,F
1941221,Very Frequent Shoppers,Large Stores,Middle Class,F
1941601,Very Frequent Shoppers,Small Stores,Low Affluent Customers,F
1942341,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1942491,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1942531,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1942721,Very Frequent Shoppers,Large Stores,Middle Class,F
1942911,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1943311,No longer Shopping,Very Large Stores,Middle Class,F
1943461,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1943651,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1944051,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1944621,No longer Shopping,Large Stores,Middle Class,X
1944771,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1945171,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1945211,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1946141,Lapsing Shoppers,Large Stores,Middle Class,F
1946521,Occasional Shoppers,Very Large Stores,Middle Class,F
1946711,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1947071,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1947111,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1947261,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1947301,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1947451,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1948041,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1948381,Very Frequent Shoppers,Small Stores,Middle Class,F
1948761,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1948801,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1949011,Occasional Shoppers,Very Large Stores,Middle Class,F
1949351,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1949541,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1949731,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1950291,Very Frequent Shoppers,Large Stores,Middle Class,F
1950331,No longer Shopping,Very Large Stores,NA,F
1950481,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1950521,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1950711,Very Frequent Shoppers,Large Stores,Middle Class,F
1950861,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1950901,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1951261,Lapsing Shoppers,Very Large Stores,Very Affluent Customers,F
1951641,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1951831,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1951981,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1952231,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1952571,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1952611,Very Frequent Shoppers,Large Stores,Middle Class,M
1952801,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1953881,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1954281,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1954321,Very Frequent Shoppers,Large Stores,Middle Class,F
1954471,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,F
1954511,No longer Shopping,Large Stores,NA,F
1954661,No longer Shopping,Very Large Stores,Low Affluent Customers,M
1955251,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1955821,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1956031,Very Frequent Shoppers,Large Stores,Middle Class,M
1956181,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1956601,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1956941,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1957001,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1957341,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1957531,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1957721,Occasional Shoppers,Large Stores,Very Affluent Customers,M
1957871,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1958121,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1958271,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1958311,Occasional Shoppers,Others,Middle Class,F
1958461,No longer Shopping,Large Stores,Middle Class,F
1958991,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1959391,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1959431,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1959771,No longer Shopping,Large Stores,Low Affluent Customers,F
1959961,Very Frequent Shoppers,Large Stores,Middle Class,F
1960031,Very Frequent Shoppers,Large Stores,Middle Class,F
1960181,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1960601,Occasional Shoppers,Large Stores,Middle Class,M
1960941,Very Frequent Shoppers,Large Stores,Middle Class,F
1961681,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1961721,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1961911,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1962121,Very Frequent Shoppers,Large Stores,Middle Class,F
1962271,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1962311,Very Frequent Shoppers,Large Stores,Middle Class,F
1962461,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1962501,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1962991,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1963051,Occasional Shoppers,Large Stores,Middle Class,F
1963621,Very Frequent Shoppers,Others,Middle Class,F
1964021,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1964211,Very Frequent Shoppers,Large Stores,Middle Class,F
1964401,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1965141,Very Frequent Shoppers,Small Stores,Very Affluent Customers,F
1965291,Very Frequent Shoppers,Large Stores,Middle Class,F
1965481,Very Frequent Shoppers,Large Stores,Middle Class,F
1965671,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1965711,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1965901,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1966111,Occasional Shoppers,Large Stores,Middle Class,F
1966301,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1966791,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1966831,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1967231,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1967571,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
1968011,Occasional Shoppers,Large Stores,Middle Class,F
1968161,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1968541,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1968731,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1969091,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1969281,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1969321,Very Frequent Shoppers,Large Stores,Middle Class,F
1969471,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1969511,Very Frequent Shoppers,Small Stores,Very Affluent Customers,M
1969661,Occasional Shoppers,Others,Low Affluent Customers,F
1969701,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1970261,Occasional Shoppers,Very Large Stores,Middle Class,M
1970451,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1970641,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1971381,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1971421,No longer Shopping,Large Stores,Middle Class,F
1971611,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
1971761,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1971801,Occasional Shoppers,Large Stores,Middle Class,M
1971951,Occasional Shoppers,Very Large Stores,Middle Class,F
1972011,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1972201,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1972691,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
1972881,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1973091,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1973471,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,F
1973701,Occasional Shoppers,Large Stores,Middle Class,M
1974591,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1974821,Occasional Shoppers,Small Stores,Middle Class,F
1974971,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1975181,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1975411,Lapsing Shoppers,Very Large Stores,NA,M
1975561,Occasional Shoppers,Large Stores,Middle Class,F
1975601,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1976001,Occasional Shoppers,Small Stores,Middle Class,F
1976151,Occasional Shoppers,Small Stores,Middle Class,F
1976531,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1976721,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1976871,Occasional Shoppers,Small Stores,Middle Class,F
1976911,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1977121,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1977311,Very Frequent Shoppers,Large Stores,Middle Class,F
1977461,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
1977501,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1978051,Occasional Shoppers,Very Large Stores,Middle Class,F
1978431,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1979361,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1979551,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1979741,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1979891,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1980001,Very Frequent Shoppers,Large Stores,Middle Class,F
1980491,Occasional Shoppers,Others,Low Affluent Customers,M
1980871,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1981081,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1981121,Occasional Shoppers,Very Large Stores,Middle Class,F
1981651,Very Frequent Shoppers,Large Stores,Middle Class,F
1981841,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1982391,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1982811,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1983401,Occasional Shoppers,Very Large Stores,Middle Class,F
1983931,Occasional Shoppers,Large Stores,Middle Class,M
1984291,Very Frequent Shoppers,Large Stores,Middle Class,M
1984671,No longer Shopping,Large Stores,Very Affluent Customers,M
1984861,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1985111,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1985641,Occasional Shoppers,Others,Very Affluent Customers,F
1985791,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1985831,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1985981,Lapsing Shoppers,Very Large Stores,Middle Class,M
1986191,No longer Shopping,Large Stores,Very Affluent Customers,F
1986801,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1986951,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1987351,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1987731,No longer Shopping,Others,NA,F
1987921,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1988131,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1988281,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1988321,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1989061,Very Frequent Shoppers,Large Stores,Middle Class,M
1989251,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1989441,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1989591,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1989631,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1989781,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1989821,Occasional Shoppers,Small Stores,Middle Class,F
1990231,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
